region,useCard,dCard,income,education,age,age2,dPhone
2,2,1,0,0,69,4761,1
2,1,1,0,0,65,4225,1
2,10,1,40,1,56,3136,1
2,4,1,0,1,69,4761,0
2,2,1,60,1,53,2809,1
2,1,1,30,1,37,1369,1
2,4,1,0,0,62,3844,1
2,20,1,0,1,31,961,1
2,3,1,30,1,33,1089,1
2,1,1,18,1,35,1225,1
2,8,1,6,0,21,441,1
2,0,0,0,0,58,3364,0
2,0,0,0,1,64,4096,1
2,1,1,4,1,33,1089,1
2,0,0,0,0,50,2500,1
2,10,1,6.5,0,37,1369,1
2,0,0,0,0,55,3025,1
2,0,0,17.33333333,1,29,841,1
2,1,1,6.5,0,26,676,1
2,0,0,0,0,63,3969,1
2,0,0,NA,0,79,6241,0
2,0,0,1.2,0,56,3136,1
2,1,1,4.116666667,1,63,3969,1
2,0,0,5,0,20,400,1
2,0,0,8.666666667,0,32,1024,1
2,0,0,13,1,34,1156,1
2,1,1,17.33333333,0,30,900,0
2,4,1,43.28133333,0,28,784,1
2,2,1,8,0,36,1296,1
2,0,0,6.5,0,22,484,1
2,2,1,0,1,64,4096,1
2,1,1,15.16666667,1,26,676,1
2,0,0,0,0,39,1521,1
2,0,0,0,0,49,2401,1
2,0,0,26,1,58,3364,1
2,1,1,0,1,24,576,1
2,1,1,20,1,28,784,1
2,1,1,3.9,0,98,9604,1
2,5,1,40,1,31,961,1
2,2,1,NA,1,30,900,1
2,1,1,30,1,40,1600,1
2,0,0,12.56666667,0,30,900,1
2,0,0,6.5,0,27,729,0
2,2,1,0,1,58,3364,1
2,1,1,NA,1,35,1225,1
2,2,1,0,0,62,3844,1
2,0,0,0,0,58,3364,1
2,5,1,19.5,1,22,484,1
2,4,1,8,1,35,1225,1
2,4,1,6,0,36,1296,1
2,0,0,10.83333333,1,47,2209,1
2,1,1,13,1,55,3025,1
2,3,1,12,1,68,4624,1
2,0,0,0,0,72,5184,0
2,3,1,15,1,50,2500,1
2,4,1,NA,1,60,3600,1
2,0,0,3.466666667,0,72,5184,0
2,0,0,0,0,70,4900,0
2,2,1,6.933333333,0,28,784,1
2,0,0,7.8,0,31,961,1
2,0,0,0,0,62,3844,1
2,0,0,4.766666667,0,47,2209,1
2,0,0,0,0,76,5776,1
2,1,1,0,0,70,4900,1
2,0,0,NA,0,52,2704,1
2,0,0,0,0,79,6241,1
2,3,1,15,1,25,625,1
2,20,1,10.83333333,0,56,3136,1
2,0,0,0,1,32,1024,1
2,1,1,10,1,53,2809,1
2,0,0,0,0,69,4761,0
2,1,1,5.633333333,1,20,400,1
2,0,0,10.83333333,1,36,1296,1
2,1,1,10.83333333,0,32,1024,1
2,0,0,0,0,34,1156,1
2,30,1,10.83333333,0,20,400,1
2,0,0,6.5,0,51,2601,1
2,0,0,0,0,56,3136,0
2,1,1,5.2,0,21,441,1
2,8,1,7,0,29,841,1
2,0,0,6,0,38,1444,1
2,0,0,0,0,54,2916,1
2,0,0,4.333333333,0,19,361,1
2,1,1,10.83333333,0,28,784,1
2,2,1,6,1,32,1024,1
2,30,1,14,1,26,676,1
2,0,0,4.333333333,0,26,676,1
2,29,1,30,1,41,1681,1
2,1,1,5,0,40,1600,1
2,0,0,5,0,56,3136,0
2,0,0,5.2,0,40,1600,1
2,0,0,21.66666667,0,44,1936,0
2,2,1,6.5,0,29,841,1
2,4,1,4.766666667,0,49,2401,1
2,1,1,12.13333333,0,48,2304,1
2,0,0,0,0,59,3481,0
2,0,0,24,1,37,1369,1
2,0,0,5.633333333,0,23,529,1
2,0,0,10,1,51,2601,1
2,1,1,8,0,18,324,1
2,1,1,26,0,46,2116,1
2,0,0,0,0,22,484,0
2,0,0,0,1,70,4900,1
2,1,1,3.9,0,23,529,1
2,1,1,13,0,36,1296,1
2,5,1,NA,1,30,900,1
2,0,0,0,0,44,1936,1
2,0,0,5.2,0,32,1024,1
2,1,1,6.5,0,25,625,1
2,12,1,8.2,1,29,841,1
2,0,0,NA,0,66,4356,1
2,0,0,0.5,0,62,3844,1
2,0,0,5.633333333,0,35,1225,1
2,2,1,5.2,0,27,729,1
2,1,1,8.666666667,0,56,3136,1
2,2,1,17.33333333,1,55,3025,1
2,1,1,8,0,47,2209,1
2,1,1,6.5,0,23,529,1
2,0,0,0,0,40,1600,1
2,1,1,2.6,0,23,529,1
2,0,0,0,0,64,4096,0
2,1,1,4.8,0,49,2401,1
2,0,0,0,0,55,3025,0
3,0,0,0,0,65,4225,0
3,0,0,10.83333333,0,29,841,1
3,1,1,9,0,24,576,1
3,1,1,3.466666667,0,25,625,1
3,1,1,0,0,61,3721,0
3,0,0,6.283333333,0,29,841,1
